filename,group_id,has_transformations,group_size,transform_type,verification_method
ade3d0020937e933_73cf82cf_a099_4243_a7a6_b06c79eedb65_rs_erly_b_7412_fliptb.jpg,erly_7412,YES,2,flip_vertical,pattern_confirmed
0d3b75beda26fcd3_73cf82cf_a099_4243_a7a6_b06c79eedb65_rs_erly_b_7412_180deg.jpg,erly_7412,YES,2,rotate_180,pattern_confirmed
a1003f3e0c793c39_dc6eeebe_ebc4_406c_b5df_f4861f491db8_rs_erly_b_9615.jpg,erly_9615,YES,3,identity,pattern_confirmed
645c91fb4a1d29fe_dc6eeebe_ebc4_406c_b5df_f4861f491db8_rs_erly_b_9615_180deg.jpg,erly_9615,YES,3,rotate_180,pattern_confirmed
e56964077cab120d_dc6eeebe_ebc4_406c_b5df_f4861f491db8_rs_erly_b_9615_fliptb.jpg,erly_9615,YES,3,flip_vertical,pattern_confirmed
37b48488063306eb_c9fa82b3_776c_4a44_8309_a6faf88898e3_rs_erly_b_7498_fliptb.jpg,erly_7498,YES,2,flip_vertical,pattern_confirmed
2f4741c66e8b1866_c9fa82b3_776c_4a44_8309_a6faf88898e3_rs_erly_b_7498_180deg.jpg,erly_7498,YES,2,rotate_180,pattern_confirmed
78cd56fed07c19fe_d41e78aa_0020_457b_a17d_736d426adad5_rs_erly_b_7755_fliptb.jpg,erly_7755,YES,2,flip_vertical,pattern_confirmed
78a11955082d9e77_d41e78aa_0020_457b_a17d_736d426adad5_rs_erly_b_7755_180deg.jpg,erly_7755,YES,2,rotate_180,pattern_confirmed
7d2ca214c83e649d_5390d8c0_5781_47cf_8d0a_482e000a01f3_rs_erly_b_7400.jpg,erly_7400,YES,3,identity,pattern_confirmed
42cbf9f7835f56a4_5390d8c0_5781_47cf_8d0a_482e000a01f3_rs_erly_b_7400_fliptb.jpg,erly_7400,YES,3,flip_vertical,pattern_confirmed
66177ecd82f2a44c_5390d8c0_5781_47cf_8d0a_482e000a01f3_rs_erly_b_7400_180deg.jpg,erly_7400,YES,3,rotate_180,pattern_confirmed
2aec0a3a57dc6e52_56e77ea3_5b58_409c_991d_c6d1e3740f65_rs_erly_b_7358_fliptb.jpg,erly_7358,YES,2,flip_vertical,pattern_confirmed
f01f1f5a044091c2_56e77ea3_5b58_409c_991d_c6d1e3740f65_rs_erly_b_7358_180deg.jpg,erly_7358,YES,2,rotate_180,pattern_confirmed
8898be6f1d774cf1_ebleafb_jpg_rf_453a4e4dacd018594e0f58ab14728e53.jpg,jpg_rf,YES,14,identity,pattern_confirmed
0641511d7981170e_100_46341_jpg_rf_f6bde0f30e086f76e870a38c13fa1ac2.jpg,jpg_rf,YES,14,identity,pattern_confirmed
3fe685c079428c5a_tomato_early_blight_03_zoom_jpg_rf_7742476907db1098319ea3fb648ccf5c.jpg,jpg_rf,YES,14,identity,pattern_confirmed
4944119a3dc26854_early_blight_septoria_ls_fig_1_jpg_rf_23cd49cf7d3e0d6d73cb43900df7e156.jpg,jpg_rf,YES,14,identity,pattern_confirmed
ad859cf8e7abc957_1576389_early_20blight_20symptoms_jpg_rf_924a715d998d19d7d676ba0e730661e5.jpg,jpg_rf,YES,14,identity,pattern_confirmed
ee1f503349a07035_bc34aec4ea7f60a64e380fda44c2f380_jpg_rf_f7cd05b26436297f9e912a30fe76d4a8.jpg,jpg_rf,YES,14,identity,pattern_confirmed
dabdb4d6e7398755_dscn3175_jpg_rf_b5f5d8008a084a56b467d254cf70e317.jpg,jpg_rf,YES,14,identity,pattern_confirmed
56952c4887870589_early_blight_closeup_sm_jpg_rf_b225b29bc84b84a128a3ab34f44e4c39.jpg,jpg_rf,YES,14,identity,pattern_confirmed
f27c1ea7d4ca35ea_a_solani_jpg_rf_027828b06396ed974d53d8e1c68ab0f3.jpg,jpg_rf,YES,14,identity,pattern_confirmed
eab613be073426e3_28018723549_3a16c1467b_b_jpg_rf_47b6112906df0980bef9daa6f1fe705c.jpg,jpg_rf,YES,14,identity,pattern_confirmed
3b5a37b9e6f00c10_b_29_leafunsidecladosp_envez_jpg_rf_443f83cfe61536e156c9b9e95af77385.jpg,jpg_rf,YES,14,identity,pattern_confirmed
7ffb53e5b6a43280_fs547_2_big_jpg_rf_b3de3d9d07fe1c2f88fd2af4427965c8.jpg,jpg_rf,YES,14,identity,pattern_confirmed
0d908159159232b7_b3a52d4eda0deedc34260c4dee847a5b_jpg_rf_e0ff580969f0e4b6a0a9733b3d4b92b6.jpg,jpg_rf,YES,14,identity,pattern_confirmed
c8fa4089f13a233c_tomato_blight_early_jpg_rf_58fb75305539c7fb1b5d1d18847b6d38.jpg,jpg_rf,YES,14,identity,pattern_confirmed
9a7f090e089a5ab1_a6d7438a_35f6_40fb_ab5c_a46cdfef7e83_rs_erly_b_9594_fliptb.jpg,erly_9594,YES,2,flip_vertical,pattern_confirmed
cbf3d7f7646aad6b_a6d7438a_35f6_40fb_ab5c_a46cdfef7e83_rs_erly_b_9594_180deg.jpg,erly_9594,YES,2,rotate_180,pattern_confirmed
53827d02787b7a4a_a52492e3_7916_4a13_a175_6a6c0dd3440a_rs_erly_b_7613_180deg.jpg,erly_7613,YES,2,rotate_180,pattern_confirmed
7292df27dea265d2_a52492e3_7916_4a13_a175_6a6c0dd3440a_rs_erly_b_7613_fliptb.jpg,erly_7613,YES,2,flip_vertical,pattern_confirmed
828e00c385bea255_c66ca8bd_a004_4efb_a66c_3be5168aaaca_rs_erly_b_7826_fliptb.jpg,erly_7826,YES,2,flip_vertical,pattern_confirmed
6d159df1fe687588_c66ca8bd_a004_4efb_a66c_3be5168aaaca_rs_erly_b_7826_180deg.jpg,erly_7826,YES,2,rotate_180,pattern_confirmed
4470eb2b204f8e8a_eabc47ee_5023_476b_9992_53baa566d270_rs_erly_b_7757_180deg.jpg,erly_7757,YES,2,rotate_180,pattern_confirmed
d915b3bf23896843_eabc47ee_5023_476b_9992_53baa566d270_rs_erly_b_7757_fliptb.jpg,erly_7757,YES,2,flip_vertical,pattern_confirmed
71f5fcae45f24220_748ed7a9_9044_49d2_943d_8c82a1763c55_rs_erly_b_8230_180deg.jpg,erly_8230,YES,2,rotate_180,pattern_confirmed
3b846a9d10c3aaa9_748ed7a9_9044_49d2_943d_8c82a1763c55_rs_erly_b_8230_fliptb.jpg,erly_8230,YES,2,flip_vertical,pattern_confirmed
8f36c6925a742be8_bbb5a1cf_9b5f_4e2f_9e3d_e04a241c2806_rs_erly_b_8283_180deg.jpg,erly_8283,YES,2,rotate_180,pattern_confirmed
48f29e225f50a47b_bbb5a1cf_9b5f_4e2f_9e3d_e04a241c2806_rs_erly_b_8283_fliptb.jpg,erly_8283,YES,2,flip_vertical,pattern_confirmed
5f45640418a550b9_3889a459_3e30_4345_83e1_57c68b32af30_rs_erly_b_7638_fliptb.jpg,erly_7638,YES,2,flip_vertical,pattern_confirmed
66a61498f418e21a_3889a459_3e30_4345_83e1_57c68b32af30_rs_erly_b_7638_180deg.jpg,erly_7638,YES,2,rotate_180,pattern_confirmed
e2b6336c9eae076b_eb84cf99_aee8_4acc_8d3d_c5a24c672eb4_rs_erly_b_7423_180deg.jpg,erly_7423,YES,2,rotate_180,pattern_confirmed
417e1ad1b7a092f6_eb84cf99_aee8_4acc_8d3d_c5a24c672eb4_rs_erly_b_7423_fliptb.jpg,erly_7423,YES,2,flip_vertical,pattern_confirmed
e53d312ade9b464b_e2edea17_f5cf_4496_8cce_7e421375c452_rs_erly_b_7666_fliptb.jpg,erly_7666,YES,2,flip_vertical,pattern_confirmed
bb8b96729156fbb0_e2edea17_f5cf_4496_8cce_7e421375c452_rs_erly_b_7666_180deg.jpg,erly_7666,YES,2,rotate_180,pattern_confirmed
c4891525f707d8ec_53c47cc3_e958_4e9a_811a_e19e99ef0a8c_rs_erly_b_6373_180deg.jpg,erly_6373,YES,2,rotate_180,pattern_confirmed
3a561201b8b049a9_53c47cc3_e958_4e9a_811a_e19e99ef0a8c_rs_erly_b_6373_fliptb.jpg,erly_6373,YES,2,flip_vertical,pattern_confirmed
07647b2338263ec7_w_00052_06_early_blight.jpg,early_blight,YES,2,identity,pattern_confirmed
2e0d6cff07a38c0c_tomato_leaves_with_early_blight.jpg,early_blight,YES,2,identity,pattern_confirmed
8089ceb8cac39653_8647963f_aacb_44f3_82bc_fa749bc65694_rs_erly_b_6391_fliptb.jpg,erly_6391,YES,2,flip_vertical,pattern_confirmed
768d4127899c7569_8647963f_aacb_44f3_82bc_fa749bc65694_rs_erly_b_6391_180deg.jpg,erly_6391,YES,2,rotate_180,pattern_confirmed
569359c5e40f5675_4803a0a5_ac23_431f_b792_d60a25a268bd_rs_erly_b_9508_fliptb.jpg,erly_9508,YES,2,flip_vertical,pattern_confirmed
