filename,has_transformations,group_id,is_base_file,method
aba2065f08cc3ec4_c1ca36c4_bffc_494d_9199_0753d7319bce_psu_cg_2357_new30degfliplr.jpg,YES,cg_2357,False,pattern_analysis
883723a5ceebe115_c1ca36c4_bffc_494d_9199_0753d7319bce_psu_cg_2357_90deg.jpg,YES,cg_2357,False,pattern_analysis
1d258617fa72f54e_c1ca36c4_bffc_494d_9199_0753d7319bce_psu_cg_2357_180deg.jpg,YES,cg_2357,False,pattern_analysis
790306e22e2dfeb4_c1ca36c4_bffc_494d_9199_0753d7319bce_psu_cg_2357_newpixel25.jpg,YES,cg_2357,False,pattern_analysis
13618663c1ae627b_c1ca36c4_bffc_494d_9199_0753d7319bce_psu_cg_2357_270deg.jpg,YES,cg_2357,False,pattern_analysis
732e35017fcf52e0_c1ca36c4_bffc_494d_9199_0753d7319bce_psu_cg_2357.jpg,NO,cg_2357,True,pattern_analysis
ba579bb7ba669148_f600fd06_c834_4305_83b2_ee1bd08cea49_psu_cg_2235_new30degfliplr.jpg,YES,cg_2235,False,pattern_analysis
12baffb901028b05_f600fd06_c834_4305_83b2_ee1bd08cea49_psu_cg_2235_newpixel25.jpg,YES,cg_2235,False,pattern_analysis
e43c9da82c1fee85_f600fd06_c834_4305_83b2_ee1bd08cea49_psu_cg_2235.jpg,NO,cg_2235,True,pattern_analysis
5e4e3c5c3ad4f972_f600fd06_c834_4305_83b2_ee1bd08cea49_psu_cg_2235_270deg.jpg,YES,cg_2235,False,pattern_analysis
cb06505258031fc3_f600fd06_c834_4305_83b2_ee1bd08cea49_psu_cg_2235_180deg.jpg,YES,cg_2235,False,pattern_analysis
17190e8b62a655a1_f600fd06_c834_4305_83b2_ee1bd08cea49_psu_cg_2235_90deg.jpg,YES,cg_2235,False,pattern_analysis
331491c072943f8f_3117475d_3948_45a5_b2c7_630efb8bfab8_psu_cg_2333.jpg,NO,cg_2333,True,pattern_analysis
df427ac225062a17_3117475d_3948_45a5_b2c7_630efb8bfab8_psu_cg_2333_newpixel25.jpg,YES,cg_2333,False,pattern_analysis
5f5ac20a9ed0fb3f_3117475d_3948_45a5_b2c7_630efb8bfab8_psu_cg_2333_180deg.jpg,YES,cg_2333,False,pattern_analysis
72af696dae906ad9_3117475d_3948_45a5_b2c7_630efb8bfab8_psu_cg_2333_90deg.jpg,YES,cg_2333,False,pattern_analysis
a6d7848be9ce416f_3117475d_3948_45a5_b2c7_630efb8bfab8_psu_cg_2333_270deg.jpg,YES,cg_2333,False,pattern_analysis
93cfd7f1bd0e0ec0_3117475d_3948_45a5_b2c7_630efb8bfab8_psu_cg_2333_new30degfliplr.jpg,YES,cg_2333,False,pattern_analysis
4b02da2a074acfc2_a75c61c4_b765_42a1_9896_7937b15ed996_psu_cg_2051_270deg.jpg,YES,cg_2051,False,pattern_analysis
