epoch,accuracy,learning_rate,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.6366795301437378,9.999999747378752e-05,1.1388616561889648,0.8294433355331421,0.8901699185371399,0.3404194712638855,0.9745145440101624
1,0.78125,9.999999747378752e-05,0.9093380570411682,0.9375,0.893203854560852,0.33561044931411743,0.9760315418243408
2,0.8772565722465515,9.999999747378752e-05,0.39943209290504456,0.9650275707244873,0.8974514603614807,0.3092453181743622,0.9793689250946045
3,0.96875,9.999999747378752e-05,0.18793736398220062,0.96875,0.8992718458175659,0.3022115230560303,0.9805825352668762
4,0.9076969623565674,9.999999747378752e-05,0.29210326075553894,0.9777173399925232,0.9302184581756592,0.20390711724758148,0.9875606894493103
5,0.875,9.999999747378752e-05,0.4493585228919983,0.96875,0.9302184581756592,0.21028907597064972,0.9875606894493103
6,0.9225772619247437,9.999999747378752e-05,0.242452472448349,0.9825515747070312,0.9444781541824341,0.16065192222595215,0.9890776872634888
7,0.96875,9.999999747378752e-05,0.08907052874565125,1.0,0.9441747665405273,0.16229242086410522,0.9893810749053955
8,0.9352670311927795,9.999999747378752e-05,0.2014419436454773,0.9860261082649231,0.9517596960067749,0.14017517864704132,0.9881674647331238
9,0.90625,9.999999747378752e-05,0.30746352672576904,0.9375,0.9514563083648682,0.14064349234104156,0.9884708523750305
10,0.9400256872177124,9.999999747378752e-05,0.18172627687454224,0.9873102307319641,0.9572208523750305,0.1423199474811554,0.9890776872634888
11,0.96875,9.999999747378752e-05,0.1620146930217743,1.0,0.9572208523750305,0.1432141214609146,0.988774299621582
12,0.9487121105194092,9.999999747378752e-05,0.15705764293670654,0.9900294542312622,0.9469053149223328,0.16876593232154846,0.988774299621582
13,0.96875,9.999999747378752e-05,0.20607340335845947,1.0,0.9481189250946045,0.16636472940444946,0.9893810749053955
14,0.9564921855926514,4.999999873689376e-05,0.12081226706504822,0.9940328001976013,0.9635922312736511,0.11575450003147125,0.9933252334594727
15,0.9375,4.999999873689376e-05,0.296600878238678,1.0,0.9638956189155579,0.11549270898103714,0.9933252334594727
16,0.9669159054756165,4.999999873689376e-05,0.10064127296209335,0.9943349361419678,0.967839777469635,0.10420600324869156,0.9939320683479309
17,0.9375,4.999999873689376e-05,0.10164230316877365,1.0,0.967839777469635,0.10303489118814468,0.9939320683479309
18,0.9648764729499817,4.999999873689376e-05,0.09474721550941467,0.995392382144928,0.9584344625473022,0.11606564372777939,0.9924150705337524
19,0.96875,4.999999873689376e-05,0.14099451899528503,1.0,0.9581310749053955,0.11625451594591141,0.9924150705337524
20,0.9684266448020935,4.999999873689376e-05,0.09384291619062424,0.9960722327232361,0.9663228392601013,0.11250316351652145,0.9924150705337524
21,0.96875,4.999999873689376e-05,0.046066176146268845,1.0,0.9663228392601013,0.11345551162958145,0.9924150705337524
22,0.9713724851608276,4.999999873689376e-05,0.085848368704319,0.9959966540336609,0.9657160043716431,0.10862002521753311,0.9930218458175659
23,0.96875,2.499999936844688e-05,0.23276185989379883,1.0,0.9654126167297363,0.1089220717549324,0.9927184581756592
24,0.9768109321594238,2.499999936844688e-05,0.06677193939685822,0.9975073933601379,0.9705703854560852,0.1000383049249649,0.9933252334594727
25,1.0,2.499999936844688e-05,0.05109376087784767,1.0,0.9702669978141785,0.09973353147506714,0.9930218458175659
26,0.9783216118812561,2.499999936844688e-05,0.06232888996601105,0.9978095293045044,0.9714806079864502,0.10391166061162949,0.9924150705337524
27,0.96875,2.499999936844688e-05,0.03659968450665474,1.0,0.9717839956283569,0.10388091206550598,0.9924150705337524
28,0.9804365634918213,2.499999936844688e-05,0.05653096362948418,0.9973562955856323,0.9693567752838135,0.10597175359725952,0.9936286211013794
29,1.0,2.499999936844688e-05,0.004034250508993864,1.0,0.9690533876419067,0.10616996884346008,0.9936286211013794
30,0.9819473028182983,2.499999936844688e-05,0.04707954823970795,0.9986403584480286,0.9711771607398987,0.11853788793087006,0.9942354559898376
31,1.0,1.249999968422344e-05,0.0010632076300680637,1.0,0.9711771607398987,0.1186337023973465,0.9942354559898376
32,0.9838356375694275,1.249999968422344e-05,0.04152005910873413,0.9984138011932373,0.9708737730979919,0.1054326742887497,0.9945388436317444
33,1.0,1.249999968422344e-05,0.01252954825758934,1.0,0.9711771607398987,0.10542767494916916,0.9945388436317444
34,0.984591007232666,1.249999968422344e-05,0.04164665937423706,0.9985648393630981,0.9739077687263489,0.10360229760408401,0.9948422312736511
35,1.0,1.249999968422344e-05,0.005656546913087368,1.0,0.9736043810844421,0.10381011664867401,0.9948422312736511
